timestamp,instrument,signal_type,imbalance,bid_price,ask_price
1762009997762,ETH-PERPETUAL,TICK,0,3890.4,0
1762009997786,ETH-PERPETUAL,TICK,0,3890.4,0
1762009997900,BTC-PERPETUAL,TICK,0,110172,0
1762009997903,BTC-PERPETUAL,TICK,0,110172,0
1762009997908,ETH-PERPETUAL,TICK,0,3899.3,0
1762009997910,ETH-PERPETUAL,TICK,0,3899.3,0
1762009998034,ETH-PERPETUAL,TICK,0,3892.25,0
1762009998039,ETH-PERPETUAL,TICK,0,3892.25,0
1762009998070,ETH-PERPETUAL,TICK,0,3888.65,0
1762009998074,ETH-PERPETUAL,TICK,0,3888.65,0
1762009998103,ETH-PERPETUAL,TICK,0,3892.2,0
1762009998106,ETH-PERPETUAL,TICK,0,3892.2,0
1762009998131,ETH-PERPETUAL,TICK,0,3888.75,0
1762009998134,ETH-PERPETUAL,TICK,0,3888.75,0
1762009998160,ETH-PERPETUAL,TICK,0,3892.05,0
1762009998163,ETH-PERPETUAL,TICK,0,3892.05,0
1762009998186,ETH-PERPETUAL,TICK,0,3888.8,0
1762009998190,ETH-PERPETUAL,TICK,0,3888.8,0
1762009998212,ETH-PERPETUAL,TICK,0,3892,0
1762009998214,ETH-PERPETUAL,TICK,0,3892,0
1762009998239,ETH-PERPETUAL,TICK,0,3889.1,0
1762009998241,ETH-PERPETUAL,TICK,0,3889.1,0
1762009998267,ETH-PERPETUAL,TICK,0,3891.95,0
1762009998270,ETH-PERPETUAL,TICK,0,3891.95,0
1762009998293,ETH-PERPETUAL,TICK,0,3889.15,0
1762009998295,ETH-PERPETUAL,TICK,0,3889.15,0
1762009998318,ETH-PERPETUAL,TICK,0,3891.9,0
1762009998320,ETH-PERPETUAL,TICK,0,3891.9,0
1762009998343,ETH-PERPETUAL,TICK,0,3889.25,0
1762009998346,ETH-PERPETUAL,TICK,0,3889.25,0
1762009998373,ETH-PERPETUAL,TICK,0,3891.7,0
1762009998376,ETH-PERPETUAL,TICK,0,3891.7,0
1762009998400,ETH-PERPETUAL,TICK,0,3889.3,0
1762009998403,ETH-PERPETUAL,TICK,0,3889.3,0
1762009998427,ETH-PERPETUAL,TICK,0,3891.65,0
1762009998430,ETH-PERPETUAL,TICK,0,3891.65,0
1762009998456,ETH-PERPETUAL,TICK,0,3889.35,0
1762009998459,ETH-PERPETUAL,TICK,0,3889.35,0
1762009998481,ETH-PERPETUAL,TICK,0,3891.6,0
1762009998484,ETH-PERPETUAL,TICK,0,3891.6,0
1762009998509,ETH-PERPETUAL,TICK,0,3889.4,0
1762009998511,ETH-PERPETUAL,TICK,0,3889.4,0
1762009998534,ETH-PERPETUAL,TICK,0,3891.55,0
1762009998537,ETH-PERPETUAL,TICK,0,3891.55,0
1762009998558,ETH-PERPETUAL,TICK,0,3889.5,0
1762009998561,ETH-PERPETUAL,TICK,0,3889.5,0
1762009998585,ETH-PERPETUAL,TICK,0,3891.5,0
1762009998588,ETH-PERPETUAL,TICK,0,3891.5,0
1762009998612,ETH-PERPETUAL,TICK,0,3889.6,0
1762009998616,ETH-PERPETUAL,TICK,0,3889.6,0
1762009998645,ETH-PERPETUAL,TICK,0,3891.4,0
1762009998649,ETH-PERPETUAL,TICK,0,3891.4,0
1762009998679,ETH-PERPETUAL,TICK,0,3889.65,0
1762009998681,ETH-PERPETUAL,TICK,0,3889.65,0
1762009998711,ETH-PERPETUAL,TICK,0,3891.3,0
1762009998714,ETH-PERPETUAL,TICK,0,3891.3,0
1762009998739,ETH-PERPETUAL,TICK,0,3889.75,0
1762009998743,ETH-PERPETUAL,TICK,0,3889.75,0
1762009998772,ETH-PERPETUAL,TICK,0,3891.25,0
1762009998776,ETH-PERPETUAL,TICK,0,3891.25,0
1762009998798,ETH-PERPETUAL,TICK,0,3889.8,0
1762009998801,ETH-PERPETUAL,TICK,0,3889.8,0
1762009998825,ETH-PERPETUAL,TICK,0,3891.2,0
1762009998828,ETH-PERPETUAL,TICK,0,3891.2,0
1762009998851,ETH-PERPETUAL,TICK,0,3890.05,0
1762009998855,ETH-PERPETUAL,TICK,0,3890.05,0
1762009998878,ETH-PERPETUAL,TICK,0,3891.05,0
