timestamp,instrument,signal_type,imbalance,bid_price,ask_price
1762017156963,ETH-PERPETUAL,TICK,0,3881.9,0
1762017156966,ETH-PERPETUAL,TICK,0,3881.9,0
1762017157101,BTC-PERPETUAL,TICK,0,110334,0
1762017157104,BTC-PERPETUAL,TICK,0,110334,0
1762017159549,ETH-PERPETUAL,TICK,0,3883.4,0
1762017159554,ETH-PERPETUAL,TICK,0,3883.4,0
1762017159582,ETH-PERPETUAL,TICK,0,3880.35,0
1762017159585,ETH-PERPETUAL,TICK,0,3880.35,0
1762017159609,ETH-PERPETUAL,TICK,0,3883.35,0
1762017159612,ETH-PERPETUAL,TICK,0,3883.35,0
1762017159639,ETH-PERPETUAL,TICK,0,3880.4,0
1762017159642,ETH-PERPETUAL,TICK,0,3880.4,0
1762017159669,ETH-PERPETUAL,TICK,0,3883.3,0
1762017159672,ETH-PERPETUAL,TICK,0,3883.3,0
1762017159699,ETH-PERPETUAL,TICK,0,3880.5,0
1762017159702,ETH-PERPETUAL,TICK,0,3880.5,0
1762017159726,ETH-PERPETUAL,TICK,0,3883.25,0
1762017159730,ETH-PERPETUAL,TICK,0,3883.25,0
1762017159759,ETH-PERPETUAL,TICK,0,3880.55,0
1762017159763,ETH-PERPETUAL,TICK,0,3880.55,0
1762017159792,ETH-PERPETUAL,TICK,0,3883.2,0
1762017159797,ETH-PERPETUAL,TICK,0,3883.2,0
1762017159833,ETH-PERPETUAL,TICK,0,3880.6,0
1762017159838,ETH-PERPETUAL,TICK,0,3880.6,0
1762017159866,ETH-PERPETUAL,TICK,0,3883.1,0
1762017159870,ETH-PERPETUAL,TICK,0,3883.1,0
1762017159898,ETH-PERPETUAL,TICK,0,3880.65,0
1762017159903,ETH-PERPETUAL,TICK,0,3880.65,0
1762017159932,ETH-PERPETUAL,TICK,0,3883.05,0
1762017159936,ETH-PERPETUAL,TICK,0,3883.05,0
1762017159965,ETH-PERPETUAL,TICK,0,3880.8,0
1762017159969,ETH-PERPETUAL,TICK,0,3880.8,0
1762017160001,ETH-PERPETUAL,TICK,0,3883,0
1762017160004,ETH-PERPETUAL,TICK,0,3883,0
1762017160034,ETH-PERPETUAL,TICK,0,3880.85,0
1762017160038,ETH-PERPETUAL,TICK,0,3880.85,0
1762017160067,ETH-PERPETUAL,TICK,0,3882.9,0
