timestamp,instrument,signal_type,imbalance,bid_price,ask_price
1762011510336,ETH-PERPETUAL,TICK,0,3885.35,0
1762011510341,ETH-PERPETUAL,TICK,0,3885.35,0
1762011510403,BTC-PERPETUAL,TICK,0,110033,0
1762011510406,BTC-PERPETUAL,TICK,0,110033,0
1762011510476,BTC-PERPETUAL,TICK,0,95100,0
1762011510481,BTC-PERPETUAL,TICK,0,95100,0
1762011510770,BTC-PERPETUAL,TICK,0,95000,0
1762011510774,BTC-PERPETUAL,TICK,0,95000,0
1762011511026,BTC-PERPETUAL,TICK,0,94900,0
1762011511030,BTC-PERPETUAL,TICK,0,94900,0
1762011511304,BTC-PERPETUAL,TICK,0,94800,0
1762011511307,BTC-PERPETUAL,TICK,0,94800,0
1762011511573,BTC-PERPETUAL,TICK,0,94700,0
1762011511577,BTC-PERPETUAL,TICK,0,94700,0
1762011511819,BTC-PERPETUAL,TICK,0,94600,0
1762011511822,BTC-PERPETUAL,TICK,0,94600,0
1762011512073,BTC-PERPETUAL,TICK,0,94500,0
1762011512078,BTC-PERPETUAL,TICK,0,94500,0
1762011512181,BTC-PERPETUAL,TICK,0,110030,0
1762011512191,BTC-PERPETUAL,TICK,0,110030,0
1762011512331,BTC-PERPETUAL,TICK,0,94400,0
1762011512341,BTC-PERPETUAL,TICK,0,94400,0
1762011512582,BTC-PERPETUAL,TICK,0,94300,0
1762011512588,BTC-PERPETUAL,TICK,0,94300,0
1762011512894,BTC-PERPETUAL,TICK,0,94200,0
1762011512898,BTC-PERPETUAL,TICK,0,94200,0
1762011512939,ETH-PERPETUAL,TICK,0,3886.9,0
1762011512944,ETH-PERPETUAL,TICK,0,3886.9,0
1762011512981,ETH-PERPETUAL,TICK,0,3883.55,0
1762011512986,ETH-PERPETUAL,TICK,0,3883.55,0
1762011513019,ETH-PERPETUAL,TICK,0,3886.8,0
1762011513023,ETH-PERPETUAL,TICK,0,3886.8,0
1762011513057,ETH-PERPETUAL,TICK,0,3883.6,0
1762011513061,ETH-PERPETUAL,TICK,0,3883.6,0
1762011513095,ETH-PERPETUAL,TICK,0,3886.75,0
1762011513100,ETH-PERPETUAL,TICK,0,3886.75,0
1762011513136,ETH-PERPETUAL,TICK,0,3883.65,0
1762011513141,ETH-PERPETUAL,TICK,0,3883.65,0
1762011513181,ETH-PERPETUAL,TICK,0,3886.7,0
1762011513186,ETH-PERPETUAL,TICK,0,3886.7,0
1762011513232,ETH-PERPETUAL,TICK,0,3883.75,0
1762011513237,ETH-PERPETUAL,TICK,0,3883.75,0
1762011513273,ETH-PERPETUAL,TICK,0,3886.65,0
1762011513277,ETH-PERPETUAL,TICK,0,3886.65,0
1762011513311,ETH-PERPETUAL,TICK,0,3884,0
1762011513316,ETH-PERPETUAL,TICK,0,3884,0
1762011513350,ETH-PERPETUAL,TICK,0,3886.6,0
1762011513355,ETH-PERPETUAL,TICK,0,3886.6,0
1762011513386,BTC-PERPETUAL,TICK,0,94100,0
1762011513390,BTC-PERPETUAL,TICK,0,94100,0
1762011513424,ETH-PERPETUAL,TICK,0,3884.1,0
